commence_time,home_team,away_team,bookmaker,market_type,name,price,point,price_normalized,point_normalized,home_team_encoded,away_team_encoded,market_type_encoded,bookmaker_encoded
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetRivers,h2h,Kansas City Chiefs,1.53,0.0,0.060646900269541754,0.2196969696969697,12,9,0,2
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetRivers,spreads,Houston Texans,1.85,3.5,0.10377358490566035,0.2727272727272727,12,9,1,2
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetRivers,spreads,Kansas City Chiefs,1.95,-3.5,0.1172506738544474,0.16666666666666666,12,9,1,2
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetRivers,totals,Over,1.92,42.5,0.11320754716981127,0.8636363636363636,12,9,2,2
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetRivers,totals,Under,1.89,42.5,0.10916442048517513,0.8636363636363636,12,9,2,2
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetUS,h2h,Houston Texans,2.55,0.0,0.19811320754716974,0.2196969696969697,12,9,0,3
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetUS,h2h,Kansas City Chiefs,1.56,0.0,0.06469002695417789,0.2196969696969697,12,9,0,3
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetUS,spreads,Houston Texans,1.87,3.5,0.10646900269541779,0.2727272727272727,12,9,1,3
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetUS,spreads,Kansas City Chiefs,1.95,-3.5,0.1172506738544474,0.16666666666666666,12,9,1,3
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetUS,totals,Over,1.91,42.0,0.1118598382749326,0.8560606060606061,12,9,2,3
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetUS,totals,Under,1.91,42.0,0.1118598382749326,0.8560606060606061,12,9,2,3
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetMGM,h2h,Houston Texans,2.6,0.0,0.20485175202156333,0.2196969696969697,12,9,0,0
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetMGM,h2h,Kansas City Chiefs,1.53,0.0,0.060646900269541754,0.2196969696969697,12,9,0,0
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetMGM,spreads,Houston Texans,1.87,3.5,0.10646900269541779,0.2727272727272727,12,9,1,0
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetMGM,spreads,Kansas City Chiefs,1.95,-3.5,0.1172506738544474,0.16666666666666666,12,9,1,0
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetMGM,totals,Over,1.91,42.0,0.1118598382749326,0.8560606060606061,12,9,2,0
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,BetMGM,totals,Under,1.91,42.0,0.1118598382749326,0.8560606060606061,12,9,2,0
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,Bovada,h2h,Houston Texans,2.55,0.0,0.19811320754716974,0.2196969696969697,12,9,0,4
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,Bovada,h2h,Kansas City Chiefs,1.56,0.0,0.06469002695417789,0.2196969696969697,12,9,0,4
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,Bovada,spreads,Houston Texans,2.05,3.0,0.13072776280323442,0.26515151515151514,12,9,1,4
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,Bovada,spreads,Kansas City Chiefs,1.8,-3.0,0.09703504043126682,0.17424242424242425,12,9,1,4
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,Bovada,totals,Over,1.91,42.0,0.1118598382749326,0.8560606060606061,12,9,2,4
2024-12-21 18:01:00+00:00,Kansas City Chiefs,Houston Texans,Bovada,totals,Under,1.91,42.0,0.1118598382749326,0.8560606060606061,12,9,2,4
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,DraftKings,h2h,Baltimore Ravens,1.33,0.0,0.03369272237196763,0.2196969696969697,1,23,0,5
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,DraftKings,h2h,Pittsburgh Steelers,3.45,0.0,0.31940700808625333,0.2196969696969697,1,23,0,5
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,DraftKings,spreads,Baltimore Ravens,1.95,-7.0,0.1172506738544474,0.11363636363636363,1,23,1,5
