player,position,date,status,details
P.J. Tucker,PF,Dec 27,Out,"Oct 20: The Clippers announced Sunday that Tucker will not be with the team moving forward, Joey Linn of SI.com reports."
N/A,N/A,N/A,N/A,N/A
Armel Traore,F,Dec 19,Day-To-Day,"Dec 16: Traore is out for Sunday's game against the Grizzlies due to a right quad contusion, Ryan Ward of LakersNation.com reports."
Jalen Hood-Schifino,G,Dec 19,Out,"Dec 14: Hood-Schifino (hamstring) is out for Sunday's game against the Grizzlies, Dan Woike of the Los Angeles Times reports."
Jarred Vanderbilt,PF,Jan 9,Out,"Dec 3: After experiencing fluid in his left knee during the rehab process, Vanderbilt's expected return has been pushed to early January, ESPN's Shams Charania reports."
Jaxson Hayes,C,Dec 19,Out,"Nov 30: Hayes (ankle) is expected to be sidelined 2-to-3 weeks, Shams Charania of ESPN reports."
Christian Wood,F,Dec 23,Out,"Nov 12: Coach JJ Redick said Tuesday that Wood (knee) has experienced soreness in his surgically repaired knee and will miss at least four more weeks, Dan Woike of the Los Angeles Times reports."
N/A,N/A,N/A,N/A,N/A
GG Jackson II,F,Jan 13,Out,"Dec 4: Jackson (foot) ""continues to progress well"" from offseason foot surgery and is expected to return to play in 6-8 weeks"
Vince Williams Jr.,G,Jan 3,Out,Nov 21: The Grizzlies announced Thursday that Williams has been diagnosed with a Grade 3 right ankle sprain and will be re-evaluated in approximately four weeks.
N/A,N/A,N/A,N/A,N/A
Nikola Jovic,F,Dec 20,Out,"Dec 15: Jovic (ankle) has been ruled out for Monday's game against the Pistons, Ky Carlin of USA Today reports."
Pelle Larsson,G,Dec 20,Out,"Dec 15: Larsson (ankle) has been ruled out for Monday's game against the Pistons, Ira Winderman of the South Florida Sun Sentinel reports."
Josh Richardson,SG,Dec 20,Out,"Dec 11: Richardson had an injection in his left heel Wednesday and will miss at least one week, Ira Winderman of the South Florida Sun Sentinel reports."
N/A,N/A,N/A,N/A,N/A
Liam Robbins,C,Dec 17,Day-To-Day,Dec 16: Robbins (ankle) is listed as questionable for Tuesday's NBA Cup Championship game against the Thunder.
Giannis Antetokounmpo,PF,Dec 17,Day-To-Day,Dec 16: Antetokounmpo (knee) is listed as probable for Tuesday's NBA Cup Championship game against the Thunder.
Khris Middleton,SF,Dec 17,Day-To-Day,Dec 16: Middleton (illness) is probable for Tuesday's NBA Cup Championship game against the Thunder.
Damian Lillard,PG,Dec 17,Day-To-Day,"Dec 16: Lillard (calf) is probable for Tuesday's NBA Cup Championship game against the Thunder, but he said Monday that he's going to play, Eric Nehm of The Athletic reports."
N/A,N/A,N/A,N/A,N/A
Joe Ingles,SG,Dec 19,Out,Dec 14: Ingles (calf) is out for Sunday's game against the Spurs.
N/A,N/A,N/A,N/A,N/A
Jeremiah Robinson-Earl,F,Dec 19,Day-To-Day,Dec 16: Robinson-Earl (illness) won't play in Sunday's game versus the Pacers.
Karlo Matkovic,C,Dec 19,Out,Dec 14: Matkovic (back) is out for Sunday's game versus the Pacers.
Jordan Hawkins,G,Dec 19,Out,Dec 14: Hawkins (back) is out for Sunday's game versus the Pacers.
Brandon Ingram,SF,Jan 3,Out,"Dec 8: Ingram (ankle) has been ruled out indefinitely, Shams Charania of ESPN reports."
Jose Alvarado,PG,Dec 19,Out,Dec 4: Alvarado (hamstring) continues progressing through rehab and will be re-evaluated in approximately two weeks.
Zion Williamson,PF,Dec 30,Out,"Dec 4: Williamson is ""progressing well through rehabilitation"" of his left hamstring strain and will be re-evaluated in approximately two weeks."
N/A,N/A,N/A,N/A,N/A
Ariel Hukporti,C,Dec 19,Day-To-Day,Dec 16: Hukporti (ankle) has been ruled out for Sunday's game against the Magic.
Mitchell Robinson,C,Jan 25,Out,"Dec 11: Robinson (foot) is unlikely to be cleared for game action until ""at least late January,"" Shams Charania of ESPN reports."
Kevin McCullar Jr.,F,Dec 21,Out,Oct 27: McCullar (knee) has been ruled out of Monday's game against the Cavaliers.
N/A,N/A,N/A,N/A,N/A
Alex Ducas,G,Dec 19,Out,"Dec 16: Ducas (back) has been ruled out for Tuesday's NBA Cup Championship game against the Bucks, Rylan Stiles of FanSided.com reports."
Jaylin Williams,F,Dec 19,Out,"Dec 16: Williams (hamstring) has been ruled out for Tuesday's NBA Cup Championship game against the Bucks, Clemente Almanza of USA Today reports."
Adam Flagler,F,Jan 8,Out,"Dec 9: Flagler has been diagnosed with a right fourth metacarpal fracture and will be re-evaluated in 4-to-6 weeks, Clemente Almanza of USA Today reports."
Ousmane Dieng,F,Dec 19,Out,"Nov 24: Dieng will miss three to four weeks due to a right ring finger fracture, Andrew Schlecht of The Athletic reports."
Chet Holmgren,PF,Jan 26,Out,"Nov 11: Holmgren suffered a right iliac hip fracture during Sunday's loss to the Warriors and a return to play protocol will be provided in 8-to-10 weeks, Shams Charania of ESPN reports."
Nikola Topic,G,Jul 1,Out,"Jul 24: Topic underwent a successful left ACL procedure Wednesday and will miss the 2024-25 season, Clemente Almanza of USA Today reports."
N/A,N/A,N/A,N/A,N/A
Gary Harris,SG,Dec 19,Out,"Dec 15: Harris (hamstring) has been ruled out for Sunday's game against the Knicks, source reports."
