Name,Height,Weight,Reach,Stance,Wins,Losses,Draws
Damiani,Puppy,"5' 10""",170 lbs.,"69.0""",Orthodox,10,3
Damm,,"5' 7""",155 lbs.,"71.0""",Orthodox,13,9
Damm,Beauty But the Beast,"5' 4""",135 lbs.,--,,2,13
Danaa,Storm,"5' 7""",135 lbs.,"70.0""",Orthodox,12,5
Dandois,Battlecat,"5' 7""",135 lbs.,--,Orthodox,8,3
Danesoe,The Asian Viking,"5' 9""",125 lbs.,"68.0""",Orthodox,6,3
Danho,Man Mountain,"6' 3""",265 lbs.,"74.0""",Orthodox,7,1
Daniels,,"6' 2""",185 lbs.,--,Southpaw,0,1
Daniels,,--,155 lbs.,--,,5,5
Daniyalbekov,,--,185 lbs.,--,,8,0
Dantas,Cafe,"6' 2""",238 lbs.,--,Orthodox,0,3
Dantas,Dudu,"5' 10""",135 lbs.,--,,20,4
Danzig,,"5' 8""",155 lbs.,"70.0""",Orthodox,21,12
Earwood,,"5' 8""",170 lbs.,--,Orthodox,12,3
East,The Freight Train,"6' 3""",245 lbs.,--,Orthodox,12,3
Eastman,The Beastman,"5' 9""",185 lbs.,"73.0""",Orthodox,18,15
Easton,The Hulk,"5' 6""",135 lbs.,"70.0""",Southpaw,13,6
Eazel,,"5' 7""",135 lbs.,--,,7,15
Eazelle,The Real Deal,"5' 11""",155 lbs.,--,,9,2
Ebanez,The Boss,"5' 9""",154 lbs.,--,Southpaw,20,10
Ebersole,Bad Boy,"6' 0""",170 lbs.,"73.0""",Southpaw,51,18
Echeverria,The Unbroken,"5' 5""",125 lbs.,"67.0""",Switch,7,1
Eddiva,,"5' 8""",145 lbs.,"68.0""",Orthodox,6,3
Edgar,The Answer,"5' 6""",135 lbs.,"68.0""",Orthodox,23,11
Edilov,,"6' 2""",205 lbs.,--,Orthodox,17,4
Eduardo,,"5' 7""",135 lbs.,"71.0""",Orthodox,28,13
Edwards,,"5' 9""",155 lbs.,"73.0""",Southpaw,42,22
Edwards,Fast Eddy,"5' 10""",155 lbs.,"70.0""",Orthodox,9,5
Edwards,Rocky,"6' 2""",170 lbs.,"74.0""",Southpaw,22,4
Edwards,,"5' 8""",155 lbs.,"72.0""",Orthodox,6,3
Edwards,,--,145 lbs.,--,,4,1
Edwards,La Pantera,"5' 8""",135 lbs.,"70.0""",Orthodox,14,6
Egan,,"5' 11""",170 lbs.,--,Orthodox,7,5
Egger,,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5
Eilers,The Hammer,"6' 1""",235 lbs.,--,Orthodox,19,7
Einemo,The Viking,"6' 6""",253 lbs.,--,Orthodox,6,3
Eklund,,"5' 10""",155 lbs.,"72.0""",Orthodox,14,5
Elam,,--,--,--,,2,0
Faaloloto,,--,155 lbs.,"70.0""",Orthodox,2,5
Faber,The California Kid,"5' 6""",135 lbs.,"67.0""",Orthodox,35,11
Fabian,,"5' 6""",125 lbs.,"66.0""",Orthodox,4,4
Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,16,4
Fabinski,The Butcher,"6' 0""",170 lbs.,"75.0""",Orthodox,15,5
Faircloth,,"5' 9""",205 lbs.,--,Orthodox,33,20
Fairn,,"6' 1""",230 lbs.,--,,4,5
Fairn,Infinite,"5' 8""",135 lbs.,"72.0""",Orthodox,6,6
Fakhretdinov,Gladiator,"6' 0""",170 lbs.,"74.0""",Orthodox,23,1
Falcao,Big Rig,"5' 11""",185 lbs.,--,Orthodox,37,10
Falcao,Pedrinho,"5' 6""",135 lbs.,"66.0""",Orthodox,16,4
Farber,,"6' 1""",170 lbs.,--,Orthodox,16,7
Faria,,"5' 9""",155 lbs.,--,,1,1
Faria,,"5' 7""",125 lbs.,--,Switch,18,8
Farias,Chosen,"6' 1""",145 lbs.,"76.0""",Orthodox,10,1
