player,position,date,status,details
LeBron James,SF,Dec 15,Day-To-Day,"Dec 14: James (foot) is questionable for Sunday's game against the Grizzlies, Dan Woike of the Los Angeles Times reports."
Jalen Hood-Schifino,G,Dec 19,Out,"Dec 14: Hood-Schifino (hamstring) is out for Sunday's game against the Grizzlies, Dan Woike of the Los Angeles Times reports."
Anthony Davis,PF,Dec 15,Day-To-Day,"Dec 14: Davis is probable for Sunday's game against the Grizzlies due to left plantar fasciitis, Dan Woike of the Los Angeles Times reports."
Jarred Vanderbilt,PF,Jan 9,Out,"Dec 3: After experiencing fluid in his left knee during the rehab process, Vanderbilt's expected return has been pushed to early January, ESPN's Shams Charania reports."
Jaxson Hayes,C,Dec 19,Out,"Nov 30: Hayes (ankle) is expected to be sidelined 2-to-3 weeks, Shams Charania of ESPN reports."
Christian Wood,F,Dec 23,Out,"Nov 12: Coach JJ Redick said Tuesday that Wood (knee) has experienced soreness in his surgically repaired knee and will miss at least four more weeks, Dan Woike of the Los Angeles Times reports."
N/A,N/A,N/A,N/A,N/A
Jay Huff,C,Dec 15,Day-To-Day,Dec 14: Huff is questionable for Sunday's game against the Lakers with left knee soreness.
Zach Edey,C,Dec 15,Out,Dec 14: Edey (ankle) is questionable for Sunday's game against the Lakers.
Marcus Smart,PG,Dec 15,Day-To-Day,Dec 14: Smart is questionable for Sunday's game against the Lakers due to left knee soreness.
GG Jackson II,F,Jan 13,Out,"Dec 4: Jackson (foot) ""continues to progress well"" from offseason foot surgery and is expected to return to play in 6-8 weeks"
Vince Williams Jr.,G,Jan 3,Out,Nov 21: The Grizzlies announced Thursday that Williams has been diagnosed with a Grade 3 right ankle sprain and will be re-evaluated in approximately four weeks.
N/A,N/A,N/A,N/A,N/A
Nikola Jovic,F,Dec 20,Out,"Dec 15: Jovic (ankle) has been ruled out for Monday's game against the Pistons, Ky Carlin of USA Today reports."
Pelle Larsson,G,Dec 20,Out,"Dec 15: Larsson (ankle) has been ruled out for Monday's game against the Pistons, Ira Winderman of the South Florida Sun Sentinel reports."
Josh Richardson,SG,Dec 20,Out,"Dec 11: Richardson had an injection in his left heel Wednesday and will miss at least one week, Ira Winderman of the South Florida Sun Sentinel reports."
N/A,N/A,N/A,N/A,N/A
Joe Ingles,SG,Dec 19,Out,Dec 14: Ingles (calf) is out for Sunday's game against the Spurs.
N/A,N/A,N/A,N/A,N/A
Karlo Matkovic,C,Dec 19,Out,Dec 14: Matkovic (back) is out for Sunday's game versus the Pacers.
Jordan Hawkins,G,Dec 19,Out,Dec 14: Hawkins (back) is out for Sunday's game versus the Pacers.
Jeremiah Robinson-Earl,F,Dec 19,Out,Dec 14: Robinson-Earl (illness) won't play in Sunday's game versus the Pacers.
Brandon Ingram,SF,Jan 3,Out,"Dec 8: Ingram (ankle) has been ruled out indefinitely, Shams Charania of ESPN reports."
Jose Alvarado,PG,Dec 19,Out,Dec 4: Alvarado (hamstring) continues progressing through rehab and will be re-evaluated in approximately two weeks.
Zion Williamson,PF,Dec 30,Out,"Dec 4: Williamson is ""progressing well through rehabilitation"" of his left hamstring strain and will be re-evaluated in approximately two weeks."
N/A,N/A,N/A,N/A,N/A
Ariel Hukporti,C,Dec 15,Day-To-Day,Dec 14: Hukporti is doubtful for Sunday's game against the Magic.
Mitchell Robinson,C,Jan 25,Out,"Dec 11: Robinson (foot) is unlikely to be cleared for game action until ""at least late January,"" Shams Charania of ESPN reports."
Kevin McCullar Jr.,F,Dec 19,Out,Oct 27: McCullar (knee) has been ruled out of Monday's game against the Cavaliers.
N/A,N/A,N/A,N/A,N/A
Alex Ducas,G,Dec 17,Out,Dec 13: Ducas (back) is out for Saturday's NBA Cup Semifinals against the Rockets.
Jaylin Williams,F,Dec 17,Out,"Dec 13: Williams (hamstring) will not play in Saturday's NBA Cup Seminfinals matchup with the Rockets, Clemente Almanza of USA Today reports."
Adam Flagler,F,Jan 8,Out,"Dec 9: Flagler has been diagnosed with a right fourth metacarpal fracture and will be re-evaluated in 4-to-6 weeks, Clemente Almanza of USA Today reports."
Ousmane Dieng,F,Dec 19,Out,"Nov 24: Dieng will miss three to four weeks due to a right ring finger fracture, Andrew Schlecht of The Athletic reports."
Chet Holmgren,PF,Jan 26,Out,"Nov 11: Holmgren suffered a right iliac hip fracture during Sunday's loss to the Warriors and a return to play protocol will be provided in 8-to-10 weeks, Shams Charania of ESPN reports."
Nikola Topic,G,Jul 1,Out,"Jul 24: Topic underwent a successful left ACL procedure Wednesday and will miss the 2024-25 season, Clemente Almanza of USA Today reports."
N/A,N/A,N/A,N/A,N/A
Jonathan Isaac,PF,Dec 15,Out,Dec 14: Isaac (hamstring) is probable for Sunday's game against the Knicks.
Gary Harris,SG,Dec 19,Out,Dec 14: Harris (hamstring) is questionable for Sunday's game against the Knicks.
Paolo Banchero,PF,Dec 26,Out,"Dec 13: Coach Jamahl Mosley said Friday that Banchero (oblique) did some conditioning and ball handling drills during Friday's practice, Philip Rossman-Reich of OrlandoMagicDaily.com reports."
Franz Wagner,SF,Jan 5,Out,"Dec 7: Wagner (oblique) tore his right oblique during Friday's 102-94 loss to the 76ers and will be re-evaluated in four weeks, Shams Charania of ESPN reports."
N/A,N/A,N/A,N/A,N/A
Jared McCain,G,Mar 1,Out,"Dec 14: The 76ers announced Saturday that following Friday's game versus the Pacers, an MRI revealed a lateral meniscus tear in McCain's left knee. The rookie guard will undergo surgery and is out indefinitely, Jake Fischer of Yahoo Sports reports."
Kyle Lowry,PG,Dec 16,Day-To-Day,"Dec 14: Lowry (back) is out for Friday's game versus the Pacers, Adam Aaronson of PhillyVoice.com reports."
Joel Embiid,C,Dec 16,Day-To-Day,"Dec 14: Embiid (face) suffered a sinus fracture in Friday's 121-107 loss to the Pacers, Shams Charania of ESPN reports."
Caleb Martin,SF,Dec 16,Day-To-Day,"Dec 14: Martin (shoulder) has begun on-court work and is considered day-to-day moving forward, Kyle Neubeck of AllPHLY.com reports."
Adem Bona,C,Dec 16,Out,"Dec 13: Bona (knee), who has been ruled out for Friday's game against the Pacers, has begun on-court work and remains day-to-day ahead of Monday's matchup against the Hornets, Kyle Neubeck of AllPHLY.com reports."
N/A,N/A,N/A,N/A,N/A
Bradley Beal,SG,Dec 15,Day-To-Day,"Dec 14: Beal (knee) is questionable for Sunday's game against the Trail Blazers, Duane Rankin of The Arizona Republic reports."
Collin Gillespie,G,Dec 19,Out,"Nov 12: Gillespie suffered a right ankle fracture and will be re-evaluated in four weeks, Shane Young of Forbes.com reports."
N/A,N/A,N/A,N/A,N/A
Robert Williams III,C,Dec 15,Out,"Dec 14: Williams (reconditioning) is Sean Highkin of Rip City Radio 620 Portland for Sunday's game against the Suns, Sean Highkin reports."
Deandre Ayton,C,Dec 19,Out,"Dec 14: Ayton (illness) is out for Sunday's game against the Suns, Sean Highkin of Rip City Radio 620 Portland reports."
Matisse Thybulle,SG,Jan 2,Out,Nov 26: The Trail Blazers announced Tuesday that Thybulle suffered a Grade 2 right ankle sprain while ramping up in an effort to return to the court and is expected to miss 3-6 weeks.
N/A,N/A,N/A,N/A,N/A
Kevin Huerter,SG,Dec 16,Day-To-Day,"Dec 14: Huerter is expected to be day-to-day with a sprained AC joint in his left shoulder, James Ham of ESPN 1320 Sacramento reports."
