commence_time,home_team,away_team,bookmaker,market_type,name,price,point
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,BetMGM,h2h,Minnesota Vikings,1.29,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,BetMGM,h2h,Seattle Seahawks,3.7,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,BetMGM,spreads,Minnesota Vikings,1.77,-6.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,BetMGM,spreads,Seattle Seahawks,2.0,6.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,BetMGM,totals,Over,1.87,42.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,BetMGM,totals,Under,1.91,42.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,Bovada,h2h,Minnesota Vikings,1.26,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,Bovada,h2h,Seattle Seahawks,3.65,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,Bovada,spreads,Minnesota Vikings,1.83,-7.0
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,Bovada,spreads,Seattle Seahawks,1.91,7.0
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,Bovada,totals,Over,1.87,43.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,Bovada,totals,Under,1.87,43.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,DraftKings,h2h,Miami Dolphins,1.83,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,DraftKings,h2h,San Francisco 49ers,1.91,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,DraftKings,spreads,Miami Dolphins,1.91,-1.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,DraftKings,spreads,San Francisco 49ers,1.83,1.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,DraftKings,totals,Over,1.87,42.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,DraftKings,totals,Under,1.87,42.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,FanDuel,h2h,Miami Dolphins,1.98,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,FanDuel,h2h,San Francisco 49ers,1.8,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,FanDuel,spreads,Miami Dolphins,1.87,1.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,FanDuel,spreads,San Francisco 49ers,1.88,-1.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,FanDuel,totals,Over,2.0,44.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,FanDuel,totals,Under,1.77,44.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,MyBookie.ag,h2h,Miami Dolphins,2.1,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,MyBookie.ag,h2h,San Francisco 49ers,1.75,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,MyBookie.ag,spreads,Miami Dolphins,1.9,2.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,MyBookie.ag,spreads,San Francisco 49ers,1.9,-2.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,MyBookie.ag,totals,Over,1.85,43.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,MyBookie.ag,totals,Under,1.85,43.5
