NAME,POS,EST. RETURN DATE,STATUS,COMMENT
Bogdan Bogdanovic,SG,Dec 26,Day-To-Day,"Dec 24: Bogdanovic (lower leg) has been ruled out for Monday's game against Minnesota, Brad Rowland of the Locked On Podcast Network reports."
Dominick Barlow,F,Dec 26,Day-To-Day,Dec 24: Barlow (illness) won't play Monday against the Timberwolves.
Cody Zeller,C,Dec 26,Out,Dec 22: Zeller (personal) is out for Monday's game against the Timberwolves.
Onyeka Okongwu,PF,Dec 28,Out,"Dec 18: Okongwu is dealing with left knee inflammation and will miss at least four games, NBA writer Marc Stein reports. The big man will be re-evaluated in approximately one week."
Kobe Bufkin,G,Oct 1,Out,"Dec 18: Bufkin will miss the remainder of the 2024-25 season as he undergoes surgery to address his right shoulder instability, Michael Scotto of USA Today reports."
