team,player,position,injury,status
N/A,Esezi Otomewo,DT,,Out
N/A,Jordan Jefferson,DT,,Out
N/A,Javon Foster,OT,,Out
N/A,Myles Cole,DE,,Out
N/A,Evan Engram,TE,"Dec 14: Engram (shoulder) was placed on injured reserve Saturday, Demetrius Harvey of The Florida Times-Union reports.",Injured Reserve
N/A,Trevor Lawrence,QB,"Dec 6: Lawrence needs to clear concussion protocol before undergoing surgery on his sprained AC joint, Demetrius Harvey of The Florida Times-Union reports.",Injured Reserve
N/A,Gabe Davis,WR,Nov 19: The Jaguars placed Davis (knee) on injured reserve Tuesday.,Injured Reserve
N/A,Cooper Hodges,OT,"Nov 4: The Jaguars placed Hodges (knee) on injured reserve Monday, Demetrius Harvey of The Florida Times-Union reports.",Injured Reserve
N/A,Christian Kirk,WR,Nov 2: The Jaguars placed Kirk (collarbone) on injured reserve Saturday.,Injured Reserve
N/A,Patrick Murtagh,TE,"Aug 28: Murtagh (ankle) reverted to injured reserve Wednesday, NFL's official transaction log.",Injured Reserve
N/A,De'Shaan Dixon,DE,Aug 9: Dixon (knee) reverted to the injured reserve list with the Jaguars on Friday.,Injured Reserve
N/A,David White Jr.,WR,"Jun 6: White (knee) reverted to the Jaguars' injured reserve list Thursday, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Patrick Mahomes,QB,"Dec 15: Coach Andy Reid said after Sunday's 21-7 win at Cleveland that Mahomes' left ankle isn't broken but ""is sore,"" Sam McDowell of The Kansas City Star reports.",Questionable
N/A,Chamarri Conner,S,Dec 15: Conner (concussion) has been ruled out for the rest of Sunday's game against the Browns.,Questionable
N/A,Clyde Edwards-Helaire,RB,Dec 15: Edwards-Helaire is inactive for Sunday's game against the Browns.,Out
N/A,Marlon Tuipulotu,DT,,Out
N/A,Joshua Uche,LB,,Out
N/A,Malik Herring,DE,,Out
N/A,C.J. Hanson,G,,Out
N/A,Ethan Driskell,OT,,Out
N/A,D.J. Humphries,OT,Dec 15: Humphries (hamstring) has been downgraded to out for Sunday's matchup against the Browns.,Out
N/A,Hollywood Brown,WR,"Dec 13: The Chiefs are opening Brown's (shoulder) practice window Friday, Albert Breer of SI.com reports.",Injured Reserve
N/A,Mecole Hardman,WR,Dec 7: Hardman (knee) was placed on injured reserve Saturday.,Injured Reserve
N/A,Spencer Shrader,PK,Dec 4: The Chiefs placed Shrader (hamstring) on injured reserve Wednesday.,Injured Reserve
N/A,Peyton Hendershot,TE,"Nov 26: Kansas City placed Hendershot (calf) on its injured reserve list Tuesday, Pete Sweeney of ArrowheadPride.com reports.",Injured Reserve
N/A,Jared Wiley,TE,Nov 2: The Chiefs placed Wiley (knee) on injured reserve Saturday.,Injured Reserve
N/A,Jody Fortson,TE,"Oct 30: Fortson (knee, IR) suffered a torn ACL and meniscus in the Chiefs' Week 8 win over the Raiders last Sunday, Joe Schad of The Palm Beach Post reports.",Injured Reserve
N/A,Skyy Moore,WR,Oct 24: The Chiefs placed Moore on injured reserve Thursday due to a core-muscle injury.,Injured Reserve
N/A,Jaylen Watson,CB,Oct 22: The Chiefs placed Watson (lower leg) on injured reserve Tuesday.,Injured Reserve
N/A,Rashee Rice,WR,"Oct 8: Rice is expected to require four months to make a full recovery from the season-ending surgery he underwent Tuesday to repair the LCL in his right knee, Nate Taylor of The Athletic reports.",Injured Reserve
N/A,BJ Thompson,DE,Aug 28: Thompson (undisclosed) was moved to the reserve/non-football illness list Tuesday.,Out
N/A,McKade Mettauer,G,"Aug 20: Mettauer (knee) reverted to Kansas City's injured reserve list Tuesday, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Adam Butler,DT,"Dec 15: Butler (concussion) practiced in full Saturday but is questionable for Monday's Week 15 tilt against Atlanta, Paul Gutierrez of ESPN.com reports.",Questionable
N/A,Maxx Crosby,DE,"Dec 14: Crosby, who has been ruled out for Monday's game against the Falcons, revealed in an Instagram post Saturday that he expects to undergo season-ending arthroscopic surgery on his injured ankle.",Out
N/A,Sam Webb,CB,,Doubtful
N/A,Aidan O'Connell,QB,"Dec 14: O'Connell (knee) is listed as questionable for Monday's game against the Falcons, Paul Gutierrez of ESPN.com reports.",Questionable
N/A,Zamir White,RB,Dec 10: The Raiders placed White (quadriceps) on injured reserve Tuesday.,Injured Reserve
N/A,DJ Turner,WR,Dec 3: The Raiders placed Turner (knee) on injured reserve Tuesday.,Injured Reserve
N/A,Jakorian Bennett,CB,Nov 28: Bennett (shoulder) was placed on injured reserve by the Raiders on Thursday.,Injured Reserve
N/A,Gardner Minshew,QB,Nov 28: Minshew (collarbone) was placed on injured reserve Thursday.,Injured Reserve
N/A,Christian Wilkins,DT,Oct 9: Wilkins (foot) was placed on injured reserve Wednesday.,Injured Reserve
N/A,Luke Masterson,LB,Oct 5: The Raiders placed Masterson (knee) on injured reserve Saturday.,Injured Reserve
N/A,Marcus Epps,S,Sep 24: The Raiders placed Epps (knee) on injured reserve Tuesday.,Injured Reserve
N/A,Malcolm Koonce,DE,"Sep 20: Koonce will undergo season-ending knee surgery next week, Tashan Reed of The Athletic reports.",Injured Reserve
N/A,Jeff Foreman,WR,"Aug 22: Foreman (knee) reverted to the Raiders' injured reserve Thursday after clearing waivers, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,Jake Johanning,G,"Jul 26: Johanning (undisclosed) reverted to the Raiders' IR on Friday, per the NFL's transaction log.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Denzel Perryman,LB,Dec 15: Perryman (groin) is inactive for Sunday's matchup with the Buccaneers.,Out
N/A,Easton Stick,QB,Dec 15: Stick (coach's decision) is inactive for Sunday's game against the Buccaneers.,Out
N/A,Jordan McFadden,G,,Out
N/A,Brenden Jaimes,G,,Out
N/A,Justin Eboigbe,DT,,Out
N/A,Will Dissly,TE,,Out
N/A,Jalen Reagor,WR,"Dec 14: The Chargers placed Reagor (finger) on injured reserve Saturday, Kris Rhim of ESPN.com reports.",Injured Reserve
N/A,Brenden Rice,WR,"Dec 11: Rice (shoulder) isn't likely to have his practice window opened this week, per Chargers coach Jim Harbaugh, Alex Insdorf of BoltBeat.com reports.",Injured Reserve
N/A,Simi Fehoko,WR,"Dec 11: Chargers coach Jim Harbaugh said Wednesday that he doesn't expect Fehoko's (elbow) practice window to open this week, Alex Insdorf of BoltBeat.com reports.",Injured Reserve
N/A,Alohi Gilman,S,Nov 30: The Chargers placed Gilman (hamstring) on injured reserve Saturday.,Injured Reserve
N/A,J.K. Dobbins,RB,"Nov 30: Dobbins (knee) was placed on injured reserve Saturday, Tom Pelissero of NFL Network reports.",Injured Reserve
N/A,Eli Apple,CB,Nov 27: The Chargers placed Apple (hamstring) on injured reserve Wednesday.,Injured Reserve
N/A,Asante Samuel Jr.,CB,"Nov 27: Speaking with the media Wednesday, coach Jim Harbaugh said the Chargers don't expect Samuel (shoulder) to play Sunday against the Falcons, Daniel Popper of The Athletic reports.",Injured Reserve
N/A,Hayden Hurst,TE,"Nov 25: The Chargers placed Hurst (hip) on injured reserve Monday, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,Bucky Williams,C,Aug 28: Williams (undisclosed) was placed on injured reserve by the Chargers on Tuesday.,Injured Reserve
N/A,Chris Rumph II,LB,Aug 28: Rumph (foot) was placed on injured reserve by the Chargers on Tuesday.,Injured Reserve
N/A,Tyler McLellan,OT,Aug 28: McLellan (undisclosed) was placed on injured reserve by the Chargers on Tuesday.,Injured Reserve
N/A,Chris Collins,LB,Aug 28: Collins (undisclosed) was placed on injured reserve by the Chargers on Tuesday.,Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Nick Hampton,LB,"Dec 13: Hampton tore his pectoral Thursday against San Francisco and will need season-ending surgery, Stu Jackson of the Rams' official site reports.",Out
N/A,Tyler Higbee,TE,"Dec 13: Coach Sean McVay said Higbee (knee) is expected to make his season debut Sunday, Dec. 22 at the Jets, barring a setback in his recovery, Greg Beacham of the Associated Press reports.",Out
N/A,Cody Schrader,RB,,Out
N/A,Dylan McMahon,C,,Out
N/A,Warren McClendon Jr.,OT,,Out
N/A,Brennan Jackson,LB,,Out
N/A,Cobie Durant,CB,,Out
N/A,Stetson Bennett,QB,,Out
N/A,KT Leveston,G,Dec 11: Leveston (ankle) will remain on injured reserve for the remainder of the season.,Injured Reserve
N/A,Troy Reeder,LB,Oct 24: The Rams placed Reeder (hamstring) on injured reserve Thursday.,Injured Reserve
N/A,Larrell Murchison,DT,Oct 5: The Rams placed Murchison (foot) on injured reserve Saturday.,Injured Reserve
N/A,John Johnson III,S,Sep 18: Johnson (shoulder) was placed on injured reserve Wednesday.,Injured Reserve
N/A,Conor McDermott,OT,Aug 29: McDermott (undisclosed) was placed on injured reserve by the Rams on Wednesday.,Injured Reserve
N/A,Tre Tomlinson,CB,Aug 28: Tomlinson (undisclosed) was placed on injured reserve Tuesday.,Injured Reserve
N/A,Derion Kendrick,CB,Jul 26: The Rams placed Kendrick (knee) on their injured reserve list Friday.,Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Grant DuBose,WR,Dec 15: DuBose (head) has been ruled out for the rest of Sunday's game against the Texans.,Questionable
N/A,Jaylen Waddle,WR,Dec 15: Waddle exited Sunday's game against the Texans after sustaining a knee injury.,Questionable
N/A,Terron Armstead,OT,Dec 15: Armstead (knee) is inactive for Sunday's matchup with the Texans.,Out
N/A,Kendall Lamm,OT,Dec 15: Lamm (back) is inactive for Sunday's game against the Texans.,Out
N/A,Jeff Wilson Jr.,RB,Dec 15: Wilson (coach's decision) is inactive for Sunday's game against the Texans.,Out
N/A,Jack Stoll,TE,,Out
N/A,Dee Eskridge,WR,,Out
N/A,Neil Farrell,DT,,Out
N/A,Ethan Bonner,CB,,Out
N/A,Bradley Chubb,LB,"Dec 14: Chubb (knee) has been downgraded to out for Sunday's matchup versus Houston, Alain Poupart of SI.com reports.",Out
N/A,Braxton Berrios,WR,"Dec 12: The left knee injury that Berrios suffered in the Dolphins' Week 7 loss to the Colts was a torn ACL, Nick Pugliese of the Palm Beach Post reports.",Injured Reserve
N/A,Blake Ferguson,LS,"Dec 4: Ferguson (personal) was designated to return from the reserve/non-football illness list Wednesday, David Furones of the South Florida Sun Sentinel reports.",Out
N/A,Cam Smith,CB,Dec 4: Miami placed Smith (shoulder) on its injured reserve list Wednesday.,Injured Reserve
N/A,Cameron Goode,LB,"Dec 2: Goode (kneecap) was designated to return from injured reserve Monday, Aaron Wilson of KPRC 2 Houston reports.",Out
N/A,Tyus Bowser,LB,Nov 28: The Dolphins placed Bowser (knee) on injured reserve Thursday.,Injured Reserve
N/A,Tanner Conner,TE,Nov 13: Conner (knee) was placed on injured reserve Tuesday.,Injured Reserve
N/A,Austin Jackson,G,"Nov 12: Head coach Mike McDaniels told reporters Tuesday that Jackson will require season-ending knee surgery, Cameron Wolfe of NFL Network reports.",Injured Reserve
N/A,Jaelan Phillips,LB,Oct 3: Phillips (knee) was placed on injured reserve Thursday.,Injured Reserve
N/A,Anthony Schwartz,WR,Aug 25: Schwartz (knee) was placed on the Dolphins' reserve/injured list Sunday.,Injured Reserve
N/A,Cam Brown,LB,Aug 12: The Dolphins placed Brown (undisclosed) on the reserve/injured list Monday.,Injured Reserve
N/A,Grayson Murphy,LB,Aug 12: The Dolphins placed Murphy on the reserve/injured list Monday due to a knee injury.,Injured Reserve
N/A,Kion Smith,OT,"Aug 10: Smith suffered a torn ACL in Friday's 20-13 preseason victory over the Falcons, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,Tahj Washington,WR,Jul 23: The Dolphins placed Washington (undisclosed) on the reserve/injured list Tuesday.,Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Stephon Gilmore,CB,Dec 14: Gilmore (hamstring) is officially questionable to suit up Monday against Chicago.,Questionable
N/A,Ivan Pace Jr.,LB,Nov 26: The Vikings placed Pace (hamstring) on injured reserve Tuesday.,Injured Reserve
N/A,J.J. McCarthy,QB,"Nov 13: McCarthy underwent a procedure on his right knee this week after an increase in his rehab work caused some swelling, Kevin Seifert of ESPN.com reports.",Injured Reserve
N/A,Christian Darrisaw,OT,"Nov 4: Head coach Kevin O'Connell told reporters that Darrisaw underwent surgery to repair a torn ACL and MCL in his left knee Monday, Alec Lewis of The Athletic reports.",Injured Reserve
N/A,Taki Taimani,DT,Nov 3: The Vikings placed Taimani (ankle) on injured reserve Saturday.,Injured Reserve
N/A,Jordan Kunaszyk,LB,"Aug 28: Kunaszyk (undisclosed) was placed on injured reserve Tuesday, Adam Caplan of SiriusXM NFL Radio reports.",Injured Reserve
N/A,Mekhi Blackmon,CB,Jul 25: The Vikings placed Blackmon (knee) on injured reserve Thursday.,Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Cole Strange,G,Dec 15: Strange (knee) was listed as inactive ahead of Sunday's game versus Arizona.,Out
N/A,Tyrese Robinson,G,,Out
N/A,Joe Milton III,QB,,Out
N/A,Marte Mapu,S,,Out
N/A,Javon Baker,WR,,Out
N/A,Jaquelin Roy,DT,Dec 13: The Patriots placed Roy (foot) on injured reserve Friday.,Injured Reserve
N/A,Caedan Wallace,OT,Dec 13: Wallace (ankle) has been ruled out ahead of Sunday's matchup against the Cardinals.,Injured Reserve
N/A,Jake Andrews,C,"Dec 9: Andrews (knee) is expected to be ready for the start of OTAs next offseason, Andrew Callahan of the Boston Herald reports.",Injured Reserve
N/A,Curtis Jacobs,LB,"Nov 19: The Patriots placed Jacobs (head) on injured reserve Tuesday,",Injured Reserve
N/A,David Andrews,C,"Oct 8: Andrews (shoulder) said Tuesday that he sustained a torn right rotator cuff in the Patriots' Week 4 loss to the 49ers and will miss the remainder of the season, Mike Kadlick of CLNSMedia.com reports.",Injured Reserve
N/A,Ja'Whaun Bentley,LB,Sep 25: Bentley (pectoral) was placed on injured reserve Wednesday.,Injured Reserve
N/A,Oshane Ximines,LB,Sep 18: The Patriots placed Ximines (knee) on injured reserve Wednesday.,Injured Reserve
N/A,JaQuae Jackson,WR,Aug 20: New England placed Jackson (knee) on its injured reserve list Tuesday.,Injured Reserve
N/A,Jalen Hurd,WR,Mar 8: reserve-ret,Reserve-Ret
N/A,N/A,N/A,N/A,N/A
N/A,Kool-Aid McKinstry,CB,Dec 15: McKinstry sustained a neck injury and is questionable to return to Sunday's game against the Commanders.,Questionable
N/A,Alvin Kamara,RB,Dec 15: Kamara sustained a groin injury during Sunday's contest against the Commanders.,Questionable
N/A,Tanoh Kpassagnon,DE,"Dec 15: Kpassagnon (Achilles) is inactive for Sunday's matchup with the Commanders, Matthew Paras of The New Orleans Times-Picayune reports.",Out
N/A,Derek Carr,QB,"Dec 15: Carr (hand/concussion) is listed as inactive Sunday against the Commanders, Matthew Paras of The New Orleans Times-Picayune reports.",Out
N/A,Mason Tipton,WR,,Out
N/A,Jordan Mims,RB,,Out
N/A,Khristian Boyd,DT,,Out
N/A,D'Marco Jackson,LB,"Dec 15: Jackson (ankle) was placed on injured reserve Saturday, Matthew Paras of The New Orleans Times-Picayune reports.",Injured Reserve
N/A,Bub Means,WR,"Dec 13: Means (ankle) has been ruled out ahead of Sunday's matchup against the Commanders, Mike Triplett of NewOrleans.Football reports.",Injured Reserve
N/A,Chris Olave,WR,"Dec 11: Saints interim head coach Darren Rizzi said Olave (concussion) isn't likely to return from injured reserve this week, but still has ""all options on the table,""  Luke Johnson of The New Orleans Times-Picayune reports.",Injured Reserve
N/A,Nick Saldiveri,OT,"Dec 7: The Saints placed Saldiveri (knee) on injured reserve Saturday, Ross Jackson of WWL Louisiana reports.",Injured Reserve
N/A,Taysom Hill,TE,Dec 6: The Saints placed Hill (knee) on injured reserve Friday.,Injured Reserve
N/A,Paulson Adebo,CB,Oct 22: The Saints placed Adebo (upper leg) on injured reserve Tuesday.,Injured Reserve
N/A,Rashid Shaheed,WR,"Oct 17: Shaheed underwent a full repair of his meniscus Thursday and will miss the rest of the season, Adam Schefter of ESPN reports.",Injured Reserve
N/A,Rejzohn Wright,CB,Aug 29: Wright (undisclosed) was placed on injured reserve by the Saints on Tuesday.,Injured Reserve
N/A,Camron Peterson,DT,Aug 28: Peterson (undisclosed) was placed on injured reserve by the Saints on Tuesday.,Injured Reserve
N/A,Justin Herron,OT,Jul 28: The Saints placed Herron on the injured reserve list Sunday due to a knee injury.,Injured Reserve
N/A,Ryan Ramczyk,OT,"Jul 18: The Saints placed Ramczyk (knee) on reserve/PUP Thursday, and he will miss the entirety of the 2024 season, Ian Rapoport of NFL Network reports.",Out
N/A,N/A,N/A,N/A,N/A
N/A,Tommy DeVito,QB,,Questionable
N/A,Patrick Johnson,LB,"Dec 15: Johnson exited Sunday's game against the Ravens due to a knee injury, Dan Salomone of the Giants' official site reports.",Questionable
N/A,Deonte Banks,CB,"Dec 15: Banks (ribs) is inactive for Sunday's Week 15 tilt against the Ravens, Dan Salomone of the Giants' official site reports.",Out
N/A,Cor'Dale Flott,CB,"Dec 15: Flott (quadriceps) is inactive for Sunday's battle against Baltimore, Dan Salomone of the Giants' official site reports.",Out
N/A,Drew Lock,QB,"Dec 15: Lock (heel/elbow) is inactive for Sunday's game against the Ravens as New York's emergency No. 3 quarterback, Dan Salomone of the Giants' official site reports.",Out
N/A,Dru Phillips,CB,,Out
N/A,Bobby Okereke,LB,,Out
N/A,Rakeem Nunez-Roches,DT,,Out
N/A,Jon Runyan,G,"Dec 15: Runyan (ankle) was moved to injured reserve Saturday, Dan Salomone of the Giants' official site reports.",Injured Reserve
N/A,Tyler Nubin,S,"Dec 12: Giants head coach Brian Daboll said Thursday that Nubin (ankle), who is already on season-ending IR, will ""probably"" require surgery to address his injury, Ryan Dunleavy of the New York Post reports.",Injured Reserve
N/A,Austin Schlottmann,C,"Dec 11: The Giants designated Schlottmann (lower leg) to return from injured reserve Wednesday, Dan Salomone of the team's official site reports.",Injured Reserve
N/A,Tre Hawkins III,CB,"Dec 10: Hawkins will not need surgery on his fractured lumbar spine, Dan Duggan of The Athletic reports.",Injured Reserve
N/A,D.J. Davidson,DT,"Dec 7: The Giants placed Davidson (shoulder) on injured reserve Saturday, Dan Salomone of the Giants' official site reports.",Injured Reserve
N/A,Dyontae Johnson,LB,"Dec 4: The Giants designated Johnson (ankle) for return to practice from their injured reserve list Wednesday, Dan Salomone of the Giants' official site reports.",Injured Reserve
N/A,Theo Johnson,TE,"Dec 4: Giants head coach Brian Daboll said that Johnson (foot) underwent surgery Tuesday to address a Lisfranc injury, Patricia Traina of SI.com reports.",Injured Reserve
N/A,Dexter Lawrence II,DT,"Dec 2: Lawrence (elbow) was placed on injured reserve Monday, Ian Rapoport of NFL Network reports.",Injured Reserve
N/A,Armon Watts,DT,"Nov 27: Watts (shoulder) was placed on injured reserve Wednesday, Dan Salomone of the Giants' official site reports.",Injured Reserve
N/A,Azeez Ojulari,LB,Nov 26: Ian Rapoport of NFL Network reported Tuesday that the Giants are planning on placing Ojulari (toe) on injured reserve.,Injured Reserve
N/A,Andrew Thomas,OT,Oct 16: Giants head coach Brian Daboll confirmed Wednesday that Thomas underwent season-ending surgery to address a foot injury sustained during the team's Week 6 loss to the Bengals.,Injured Reserve
N/A,Gunner Olszewski,WR,"Sep 14: The Giants placed Olszewski (groin) on injured reserve Saturday, Dan Salomone of the Giants' official site reports.",Injured Reserve
N/A,Jonathan Sutherland,S,"Aug 28: Sutherland (undisclosed) reverted to injured reserve with the Giants on Wednesday, per the NFL's official transaction log.",Injured Reserve
N/A,Timmy Horne,DT,"Aug 28: Horne (Achilles) reverted to injured reserve with the Giants on Wednesday, per the NFL's official transaction log.",Injured Reserve
N/A,Elijah Riley,S,"Aug 15: Riley (concussion) reverted to the Giants' injured reserve Thursday after going unclaimed on waivers, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Michael Carter II,CB,Dec 15: Carter exited Sunday's game against the Jaguars with a back injury.,Questionable
N/A,Jalen Mills,S,"Dec 15: Mills was ruled out for the remainder of Sunday's game against the Jaguars with a chest injury, Zack Rosenblatt of The Athletic reports.",Questionable
N/A,Braelon Allen,RB,Dec 15: Allen exited Sunday's game against the Jaguars after sustaining a back injury.,Questionable
N/A,Malachi Corley,WR,"Dec 15: Conley (coach's decision) is a healthy inactive for Sunday's game against the Jaguars, Randy Lange of the Jets' official site reports.",Out
N/A,Jaylin Simpson,S,,Out
N/A,D.J. Reed,CB,,Out
N/A,Xavier Newman,G,,Out
N/A,Braiden McGregor,DE,,Out
N/A,Brandin Echols,CB,,Out
N/A,Tyler Conklin,TE,,Out
N/A,Kene Nwangwu,RB,"Dec 15: The Jets placed Nwangwu (hand) on injured reserve Saturday, Ethan Greenberg and Eric Allen of the Jets' official site report.",Injured Reserve
N/A,Irvin Charles,WR,"Dec 11: The Jets placed Charles (knee) on injured reserve Wednesday, Ethan Greenberg of the team's official site reports.",Injured Reserve
N/A,C.J. Mosley,LB,Dec 7: The Jets placed Mosley (neck) on injured reserve Saturday.,Injured Reserve
N/A,Tyron Smith,OT,"Dec 1: The Jets placed Smith (neck) on injured reserve Saturday, Brian Costello of the New York Post reports.",Injured Reserve
N/A,Jordan Travis,QB,"Nov 27: Travis has dealt with setbacks in his recovery from the grisly ankle injury he sustained last season, Rich Cimini of ESPN.com reports.",Out
N/A,Leki Fotu,DT,"Oct 31: The Jets placed Fotu (knee) on injured reserve Thursday, Ethan Greenberg of the team's official site reports.",Injured Reserve
N/A,Greg Zuerlein,PK,Oct 30: The Jets placed Zuerlein (knee) on injured reserve Wednesday.,Injured Reserve
N/A,Jermaine Johnson,LB,Sep 19: The Jets placed Johnson (Achilles) on injured reserve Thursday.,Injured Reserve
N/A,Zaire Barnes,LB,Sep 9: The Jets placed Barnes (ankle) on injured reserve Monday.,Injured Reserve
N/A,Malik Taylor,WR,"Aug 18: The Jets placed Taylor on injured reserve with an undisclosed issue Sunday, Zack Rosenblatt of The Athletic reports.",Injured Reserve
N/A,Jimmy Ciarlo,LB,"Aug 12: Ciarlo (knee) reverted to the Jets' injured reserve list Monday, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,Marcus Riley,WR,"Aug 3: Riley (undisclosed) reverted to the Jets' injured reserve Saturday after clearing waivers, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Sydney Brown,S,"Dec 15: Brown (head) has been ruled out for the remainder of Sunday's contest against the Steelers, Ralph Vacchiano of Fox Sports reports.",Questionable
N/A,Tanner McKee,QB,Dec 15: McKee (coach's decision) is inactive for Sunday's game against the Steelers.,Out
N/A,Eli Ricks,CB,,Out
N/A,Trevor Keegan,G,,Out
N/A,Darian Kinnard,OT,,Out
N/A,Nick Gates,C,,Out
N/A,Britain Covey,WR,,Out
N/A,Dallas Goedert,TE,Dec 7: Goedert (knee) was officially placed on injured reserve Saturday.,Injured Reserve
N/A,Ben VanSumeren,LB,Dec 1: The Eagles placed VanSumeren (knee) on injured reserve Saturday.,Injured Reserve
N/A,Brandon Graham,DE,Nov 26: The Eagles placed Graham (triceps) on injured reserve Tuesday.,Injured Reserve
N/A,Bryce Huff,DE,Nov 22: The Eagles placed Huff (wrist) on injured reserve Friday.,Injured Reserve
N/A,Byron Young,DT,Oct 25: The Eagles placed Young (hamstring) on injured reserve Friday.,Injured Reserve
N/A,James Bradberry IV,CB,Aug 29: Bradberry (lower leg) was placed on the Eagles' injured reserve Thursday.,Injured Reserve
N/A,Le'Raven Clark,OT,May 3: The Eagles placed Clark on injured reserve Friday.,Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Kyle Allen,QB,Dec 15: Allen (coach's decision) is inactive for Sunday's game against the Eagles.,Out
N/A,Cory Trice Jr.,CB,,Out
N/A,George Pickens,WR,,Out
N/A,Larry Ogunjobi,DT,,Out
N/A,DeShon Elliott,S,,Out
N/A,Calvin Anderson,OT,Dec 15: The Steelers placed Anderson (groin) on injured reserve Saturday.,Injured Reserve
N/A,C.J. Henderson,CB,"Nov 16: The Steelers placed Henderson (neck) on injured reserve Saturday, Brooke Pryor of ESPN.com reports.",Injured Reserve
N/A,Roman Wilson,WR,"Oct 28: The Steelers placed Wilson (hamstring) on injured reserve Monday, Brooke Pryor of ESPN.com reports.",Injured Reserve
N/A,DeMarvin Leal,DE,"Oct 12: Leal (neck) was placed on injured reserve Saturday, Teresa Varley of Pittsburgh's official site reports.",Injured Reserve
N/A,James Daniels,G,"Oct 1: The Steelers placed Daniels on injured reserve Tuesday due to an Achilles tear, Teresa Varley of the team's official site reports.",Injured Reserve
N/A,Troy Fautanu,OT,"Sep 22: Fautanu needs surgery to repair ligament damage to a dislocated kneecap and is out for the rest of the regular season, Ian Rapoport of NFL Network reports.",Injured Reserve
N/A,Cameron Johnston,P,"Sep 10: Johnston (knee) was placed on injured reserve Tuesday, Dale Lolley of the Steelers' official site reports.",Injured Reserve
N/A,Logan Lee,DT,"Sep 7: The Steelers placed Lee on injured reserve Saturday due to a calf injury, Brian Batko of the Pittsburgh Post-Gazette reports.",Injured Reserve
N/A,Cole Holcomb,LB,Aug 29: Holcomb (knee) was placed on the reserve/PUP list Tuesday.,Out
N/A,Ryan Watts,CB,"Aug 27: Pittsburgh placed Watts (undisclosed) on its injured reserve list Tuesday, Teresa Varley of the Steelers' official site reports.",Injured Reserve
N/A,Nate Herbig,G,Aug 20: Pittsburgh placed Herbig (shoulder) on the reserve/injured list Tuesday.,Injured Reserve
N/A,David Perales,LB,"Aug 2: Perales (knee) reverted to the Steelers' injured reserve Friday, per the NFL transaction log.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Dee Winters,LB,"Dec 13: Winters is day-to-day due to a neck issue, Lindsey Pallares of the 49ers' official site reports.",Questionable
N/A,Trent Williams,OT,"Dec 13: Head coach Kyle Shanahan told reporters Friday that Williams (ankle) is ""trying to get back"" and that his recovery has been ""a lot slower than anticipated,"" Nick Wagoner of ESPN.com reports.",Out
N/A,Dre Greenlaw,LB,"Dec 13: San Francisco head coach Kyle Shanahan said Friday that Greenlaw (Achilles/knee) ""checked out good"" after making his season debut during Thursday's 12-6 loss to the Rams, and that he's now dealing with soreness and is considered day-to-day, David Lombardi of SFStandard.com reports.",Questionable
N/A,Ji'Ayir Brown,S,"Dec 13: Brown (groin) is considered day-to-day after being injured in Thursday night's loss to the Rams, Lindsey Pallares of the 49ers' official site reports.",Questionable
N/A,Khalil Davis,DT,"Dec 12: Davis (knee) is inactive for Thursday Night Football against the Rams, Lindsey Pallares of the 49ers' official site reports.",Out
N/A,Israel Abanikanda,RB,"Dec 12: Abanikanda (coach's decision) is inactive for Thursday's matchup with the Rams, Lindsey Pallares of the 49ers' official site reports.",Out
N/A,Ben Bartch,G,"Dec 12: Bartch (ankle) was placed on injured reserve Thursday, Matt Barrows of The Athletic reports.",Injured Reserve
N/A,Joshua Dobbs,QB,"Dec 12: Dobbs (coach's decision) is inactive for Thursday night's game against the Rams, Nick Wagoner of ESPN.com reports.",Out
N/A,Rock Ya-Sin,CB,,Out
N/A,Malik Mustapha,S,,Out
N/A,George Odum,S,"Dec 7: The 49ers placed Odum (knee) on injured reserve Saturday, Matt Barrows of The Athletic reports.",Injured Reserve
N/A,Jordan Mason,RB,"Dec 7: Mason (ankle) was officially placed on injured reserve Saturday, Adam Schefter of ESPN reports.",Injured Reserve
N/A,Kevin Givens,DT,Dec 4: Givens (pectoral) was placed on injured reserve Wednesday.,Injured Reserve
N/A,Christian McCaffrey,RB,Dec 3: The 49ers placed McCaffrey (knee) on injured reserve Tuesday.,Injured Reserve
