team,player,position,injury,status
N/A,Tylan Grable,OT,Nov 29: Grable (abdomen) was a full participant in Friday's practice but has been ruled out for Sunday's game against the 49ers.,Injured Reserve
N/A,Travis Clayton,OT,"Aug 27: Buffalo placed Clayton (shoulder) on its injured reserve list Tuesday, Alec White of the Bills' official site reports.",Injured Reserve
N/A,Shane Buechele,QB,Aug 13: The Bills placed Buechele (neck) on injured reserve Tuesday.,Injured Reserve
N/A,Tommy Doyle,OT,"Jun 6: Doyle (knee) reverted Wednesday to Buffalo's reserve/PUP list after clearing waivers, Aaron Wilson of KPRC 2 Houston reports.",Out
N/A,N/A,N/A,N/A,N/A
N/A,Xavier Legette,WR,"Dec 15: Legette suffered a groin injury during Sunday's contest against the Cowboys, Kassidy Hill of the Panthers' official site reports.",Questionable
N/A,Nick Scott,S,"Dec 15: Scott (hamstring) is inactive for Sunday's game against the Cowboys, Darin Gantt of the Panthers' official site reports.",Out
N/A,Trevin Wallace,LB,,Out
N/A,Sam Roberts,DT,,Out
N/A,Jarrett Kingston,OT,,Out
N/A,Akayleb Evans,CB,,Out
N/A,Raheem Blackshear,RB,,Out
N/A,Shemar Bartholomew,CB,,Out
N/A,Jonathon Brooks,RB,"Dec 10: Carolina placed Brooks (knee) on injured reserve Tuesday, Darin Gantt of the Panthers' official site reports.",Injured Reserve
N/A,Miles Sanders,RB,Nov 23: The Panthers placed Sanders (ankle) on injured reserve Saturday.,Injured Reserve
N/A,Ian Thomas,TE,"Nov 18: Carolina placed Thomas (calf) on its injured reserve list Monday, Darin Gantt of the Panthers' official site reports.",Injured Reserve
N/A,Austin Corbett,C,"Oct 15: Corbett (biceps) underwent surgery to repair a torn biceps Tuesday, per his personal X account.",Injured Reserve
N/A,Shaq Thompson,LB,"Oct 5: The Panthers placed Thompson (Achilles) on injured reserve Saturday, David Newton of ESPN.com reports.",Injured Reserve
N/A,Derrick Brown,DE,"Sep 10: Carolina placed Brown (knee) on injured reserve Tuesday. He'll miss the remainder of the 2024 season, Darin Gantt of the Panthers' official site reports.",Injured Reserve
N/A,Anthony Brown,CB,"Aug 19: The Panthers placed Brown (thumb) on injured reserve Monday, Darin Gantt of the team's official site reports.",Injured Reserve
N/A,Popo Aumavae,DT,"Jul 26: Aumavae (undisclosed) reverted to Carolina's injured reserve list Friday, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,Raequan Williams,DE,"May 13: Williams (undisclosed) cleared waivers and reverted to injured reserve Monday, Mike Kaye of The Charlotte Observer reports.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Braxton Jones,OT,"Dec 15: Jones (concussion) won't play in Chiago's matchup versus the Vikings on Monday, Jason Lieser of the Chicago Sun-Times reports.",Out
N/A,Ryan Bates,C,Dec 15: Bates (concussion) has been ruled out for Monday's matchup against Minnesota.,Out
N/A,Gervon Dexter Sr.,DT,Dec 14: Dexter (knee) has been ruled out for Monday's matchup against Minnesota.,Out
N/A,D'Andre Swift,RB,Dec 14: Swift (groin) is listed as questionable for Monday's contest against the Vikings.,Questionable
N/A,Roschon Johnson,RB,Dec 14: Johnson (concussion) has been ruled out and will not play Monday against the Vikings.,Out
N/A,DeAndre Carter,WR,"Dec 11: Carter (hamstring) was placed on injured reserve Wednesday, Courtney Cronin of ESPN.com reports.",Injured Reserve
N/A,Jaquan Brisker,S,"Nov 17: General manager Ryan Poles relayed Sunday that Brisker (concussion) ""wasn't making the progress we wanted,"" which is what caused the Bears to place the third-year safety on injured reserve Saturday, Courtney Cronin of ESPN.com reports.",Injured Reserve
N/A,Andrew Billings,DT,"Nov 7: The Bears placed Billings (pectoral) on injured reserve Thursday, Scott Bair of Marquee Sports Network reports.",Injured Reserve
N/A,Bill Murray,G,"Oct 29: The Bears placed Murray (pectoral) on injured reserve Tuesday, Courtney Cronin of ESPN.com reports.",Injured Reserve
N/A,Stephen Carlson,TE,"Sep 28: The Bears placed Carlson (collarbone) on injured reserve Saturday, Scott Bair of Marquee Sports Network reports.",Injured Reserve
N/A,Douglas Coleman III,S,Aug 29: The Bears reverted Coleman (upper body) to injured reserve Wednesday.,Injured Reserve
N/A,Patrick Scales,LS,"Aug 29: The Bears placed Scales (back) on the reserve/injured list Thursday, Larry Mayer of the team's official site reports.",Injured Reserve
N/A,Nsimba Webster,WR,Aug 24: Webster (groin) was placed on injured reserve by the Bears on Saturday.,Injured Reserve
N/A,Ian Wheeler,RB,,Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Sam Hubbard,DE,Dec 15: Hubbard (knee) has been ruled out for the rest of Sunday's game against the Titans.,Questionable
N/A,Orlando Brown Jr.,OT,Dec 15: Brown (leg) is inactive for Sunday's game against the Titans.,Out
